150 400000000
0 3.712 9080324
1 3.124 2939015
2 2.6 2545822
3 2.972 6274572
4 3.468 8698253
5 4.992 6576096
6 1.359 6256928
7 3.124 7868207
8 3.016 9580621
9 2.816 3688749
10 2.856 3586839
11 3.224 9416938
12 2.264 938479
13 1.792 543485
14 3.304 3800215
15 1.556 7131570
16 2.884 4975211
17 3.588 5919879
18 4.632 6585793
19 2.988 9064508
20 3.008 2414432
21 4.992 9199958
22 4.08 7929440
23 2.684 5460223
24 1.672 5183861
25 2.036 9099498
26 2.096 2778439
27 2.612 3341114
28 4.524 9833337
29 1.804 4907506
30 1.544 1703584
31 1.5 8853882
32 2.735 6874328
33 4.58 9179145
34 1.56 7754913
35 1.124 6284852
36 3.888 9437457
37 3.636 2920186
38 4.032 4981209
39 2.936 8307847
40 2.116 3299091
41 4.816 5360955
42 3.316 9066274
43 1.668 5257130
44 2.179 9059190
45 4.276 8069720
46 2.144 1438933
47 1.692 7605450
48 2.684 349657
49 4.220 9009311
50 4.884 2533275
51 4.6080 519063
52 1.56 7787499
53 3.632 42528
54 2.272 7803044
55 2.108 1185661
56 4.624 1017183
57 2.068 4654970
58 1.916 51769
59 1.612 6131519
60 3.48 882479
61 1.772 4044417
62 2.864 8011684
63 3.812 4771769
64 1.2 9079734
65 2.631 7491404
66 2.104 4476720
67 1.016 5004327
68 4.288 5302503
69 4.140 3614980
70 4.8 7224336
71 2.624 699946
72 2.032 7001024
73 2.256 5769983
74 3.188 5264471
75 3.144 4713572
76 4.779 7524340
77 1.492 1584626
78 3.94 1084191
79 2.816 7769801
80 4.192 4665844
81 4.916 2473734
82 4.148 9521957
83 3.464 2059593
84 2.296 7713000
85 3.752 7204296
86 1.876 7134218
87 4.576 2982110
88 2.488 7319666
89 3.48 5386897
90 4.08 5259158
91 1.34 7743511
92 2.388 6297089
93 1.612 9126673
94 3.232 8710914
95 3.744 9627975
96 2.552 2618487
97 4.843 5778500
98 4.172 5439869
99 1.644 324540
100 2.872 5123277
101 4.432 5734251
102 4.316 1626932
103 4.592 9317475
104 3.836 4097394
105 2.992 3705340
106 1.632 106780
107 4.588 9830364
108 3.904 9737585
109 4.54 9103937
110 3.296 7413163
111 4.632 3778796
112 1.976 1952907
113 3.484 6587807
114 3.828 8469147
115 1.584 1539529
116 2.468 7210736
117 3.14 6222040
118 1.596 9452844
119 4.525 2116251
120 4.276 9441430
121 1.44 9701859
122 1.936 5308781
123 4.18 491784
124 1.64 254733
125 4.0 2971833
126 3.76 7695412
127 1.076 2487021
128 3.848 3825628
129 1.736 9552324
130 4.036 9227122
131 3.368 3982298
132 1.268 6672911
133 3.752 2349542
134 2.856 6921895
135 4.712 7705976
136 4.74 5911312
137 1.06 1692281
138 1.52 2398459
139 2.076 9449476
140 3.164 1446215
141 1.648 8220256
142 4.9 5531727
143 2.743 3558464
144 3.536 1820007
145 4.616 7908749
146 3.24 3053006
147 4.556 4926944
148 2.211 6444601
149 3.632 452864
